age,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm
40.0,174.2,77,17.8,85.0,133.0,49.5,12.1,48.0,213.0
27.0,150.5,55,39.6,66.0,114.0,29.7,13.4,23.0,159.0
56.0,160.2,62,33.3,67.0,103.0,28.8,20.7,15.0,133.0
35.0,179.0,75,10.7,74.0,129.0,47.7,16.6,54.0,233.0
30.0,172.7,78,26.6,79.0,140.0,36.9,3.4,25.0,218.0
56.0,160.2,62,30.2,85.0,140.0,35.4,9.5,27.0,184.0
36.0,171.5,80,21.5,86.0,153.0,46.7,16.8,53.0,220.0
60.0,175.1,66,17.3,85.0,125.0,40.4,13.9,31.0,211.0
22.0,172.2,70,24.3,70.0,118.0,36.7,9.8,50.0,213.0
22.0,171.9,78,22.9,64.0,116.0,43.6,-9.3,46.0,219.0
37.0,174.0,75,18.5,82.0,142.0,39.7,20.5,50.0,224.0
21.0,158.1,53,27.63524,70.0,115.0,18.9,12.4,17.0,116.0
21.0,170.4,74,19.5,82.0,157.0,45.6,12.7,54.0,194.0
60.0,158.6,62,34.6,80.0,137.0,29.3,18.4,12.0,132.0
27.0,168.5,64,26.2,76.0,108.0,25.2,23.1,18.0,164.0
59.0,156.3,60,33.6,79.0,130.0,29.6,22.4,23.0,135.0
47.0,157.0,54,26.8,72.0,117.0,25.1,18.2,25.0,157.0
21.0,161.3,50,23.5,69.0,127.0,27.5,29.4,39.0,175.0
51.0,177.0,68,18.3,84.0,140.0,39.3,11.3,35.0,220.0
48.0,171.0,66,17.3,99.0,144.0,48.8,16.0,49.0,225.0
49.0,170.0,66,18.0,82.0,130.0,39.5,20.0,39.0,156.0
41.0,158.1,51,21.7,86.0,127.0,23.1,28.6,46.0,165.0
24.0,159.0,45,24.5,85.0,135.0,28.5,22.9,57.0,197.0
35.0,178.4,79,15.4,73.0,127.0,52.7,14.7,68.0,260.0
26.0,156.7,56,32.8,78.0,123.0,19.7,22.9,28.0,130.0
35.0,178.5,78,13.8,81.0,136.0,51.5,17.1,64.0,237.0
25.0,171.2,65,11.8,67.0,127.0,45.1,22.2,54.0,239.0
30.0,176.4,71,17.9,68.0,130.0,53.4,24.3,56.0,210.0
27.0,175.4,86,19.8,76.0,135.0,47.6,20.6,48.0,213.0
41.0,166.7,65,21.5,90.0,151.0,49.6,18.7,54.0,242.0
50.0,158.4,57,32.0,69.0,134.0,21.1,18.6,17.0,136.0
22.0,175.8,72,30.4,75.0,115.0,34.6,19.0,54.0,188.0
56.0,173.0,70,19.5,83.0,135.0,47.9,11.1,44.0,162.0
46.0,159.1,52,27.2,84.0,127.0,22.9,17.9,30.0,136.0
44.0,180.5,79,21.7,87.0,127.0,42.3,10.8,33.0,196.0
25.0,162.2,71,41.3,75.0,124.0,24.9,7.0,5.0,120.0
25.0,156.3,48,26.5,73.0,138.0,22.8,29.8,41.0,155.0
59.0,170.0,59,15.0,71.0,115.0,28.3,8.6,15.0,162.0
30.0,178.4,82,30.0,97.0,139.0,39.3,1.9,42.0,200.0
24.0,176.0,67,10.8,81.0,120.0,47.7,17.2,55.0,242.0
39.0,168.8,70,25.5,83.0,128.0,33.7,5.4,33.0,201.0
27.0,170.3,74,22.0,98.0,151.0,47.9,14.5,53.0,170.0
33.0,172.8,78,19.3,87.0,146.0,59.8,19.7,59.0,228.0
28.0,163.6,52,20.3,72.0,118.0,31.0,23.5,23.0,130.0
28.0,166.2,59,21.9,72.0,118.0,32.1,15.6,38.0,165.0
35.0,179.2,64,12.9,88.0,128.0,49.7,22.5,46.0,239.0
34.0,177.8,76,28.9,82.0,130.0,41.1,5.3,38.0,194.0
35.0,184.7,84,16.3,70.0,120.0,48.8,15.3,56.0,229.0
34.0,173.2,73,19.5,80.0,120.0,50.0,18.1,59.0,218.0
25.0,164.3,61,22.0,78.0,145.0,43.3,18.6,47.0,209.0
32.0,169.2,68,15.2,80.0,120.0,48.3,21.1,64.0,254.0
21.0,169.1,56,22.6,77.0,120.0,26.3,31.3,24.0,162.0
22.0,183.5,76,15.7,86.0,143.0,40.9,22.8,56.0,253.0
22.0,156.9,46,23.0,98.0,155.0,20.5,16.5,38.0,155.0
24.0,172.1,64,16.8,88.0,154.0,40.2,21.7,63.0,201.0
27.0,178.2,75,15.9,59.0,129.0,49.2,16.7,55.0,229.0
21.0,164.4,48,16.9,63.0,112.0,26.5,29.4,41.0,215.0
46.0,164.1,49,30.5,59.0,117.0,21.2,4.3,16.0,150.0
29.0,162.2,51,29.2,83.0,118.0,29.7,23.7,44.0,183.0
23.0,162.7,51,19.0,76.0,110.0,32.6,21.4,59.0,200.0
51.0,177.9,67,15.8,63.0,112.0,36.6,13.7,25.0,183.0
28.0,184.8,84,17.2,83.0,123.0,52.5,11.7,56.0,257.0
23.0,164.7,44,26.7,80.0,130.0,22.3,12.5,25.0,130.0
30.0,178.3,93,27.3,81.0,129.0,57.0,16.1,47.0,222.0
25.0,160.1,51,30.7,71.0,126.0,25.7,21.1,47.0,159.0
28.0,172.7,69,27.6,81.0,149.0,46.5,10.0,48.0,185.0
22.0,178.3,73,23.4,93.0,132.0,42.7,11.7,46.0,208.0
51.0,167.7,72,29.0,90.0,148.0,36.3,6.1,37.0,180.0
24.0,165.1,49,19.3,70.0,108.0,31.8,21.6,50.0,204.0
27.0,160.3,47,19.5,60.0,111.0,27.3,28.0,37.0,173.0
61.0,153.2,62,37.0,71.0,111.0,25.7,3.0,0.0,58.0
30.0,169.5,71,20.6,72.0,125.0,45.9,13.0,66.0,235.0
42.0,180.2,73,20.4,95.0,140.0,53.7,26.0,41.0,211.0
22.0,180.3,91,32.1,75.0,134.0,28.6,-6.9,36.0,210.0
23.0,164.7,62,31.4,77.0,121.0,23.2,14.7,41.0,165.0
27.0,160.2,54,20.7,77.0,130.0,22.2,22.5,35.0,171.0
29.0,167.9,70,25.3,75.0,135.0,47.3,16.2,53.0,181.0
62.0,165.6,67,25.7,84.0,152.0,40.5,9.8,41.0,188.0
21.0,169.2,92,33.3,93.0,157.0,44.6,10.9,52.0,226.0
25.0,184.1,74,12.6,94.0,141.0,49.5,13.0,49.0,243.0
31.0,166.9,64,30.5,77.0,133.0,27.5,21.5,37.0,150.0
21.0,175.0,66,16.5,77.0,124.0,39.4,13.0,54.0,248.0
38.0,171.6,66,20.5,92.0,153.0,46.0,26.2,46.0,204.0
23.0,178.1,64,29.2,55.0,102.0,29.9,14.6,27.0,126.0
56.0,170.1,61,22.0,89.0,148.0,37.7,20.5,40.0,195.0
59.0,170.3,71,24.5,75.0,140.0,30.1,22.0,33.0,182.0
23.0,164.4,54,21.7,61.0,109.0,27.0,31.7,44.0,186.0
52.0,170.0,75,30.4,77.0,127.0,39.6,10.2,29.0,186.0
33.0,178.0,74,19.0,96.0,135.0,43.1,18.6,37.0,198.0
58.0,154.9,51,24.1,85.0,132.0,25.3,19.4,31.0,165.0
21.0,160.9,61,36.5,71.0,103.0,27.3,20.8,47.0,169.0
27.0,176.0,72,18.6,78.0,155.0,39.7,10.1,53.0,231.0
27.0,173.5,65,14.3,76.0,137.0,39.1,12.1,46.0,229.0
21.0,163.0,62,32.9,75.0,131.0,33.3,12.2,44.0,167.0
57.0,168.5,66,24.1,88.0,156.0,42.1,9.5,30.0,212.0
29.0,166.7,52,15.2,74.0,125.0,30.7,29.7,48.0,186.0
45.0,170.0,70,20.0,73.0,137.0,34.2,8.5,36.0,219.0
24.0,155.5,64,34.8,60.0,109.0,24.7,16.7,43.0,174.0
50.0,163.9,52,19.6,89.0,151.0,25.4,18.0,26.0,171.0
60.0,173.0,68,11.4,70.0,124.0,47.1,12.3,52.0,195.0
62.0,163.7,63,23.3,93.0,144.0,42.7,25.0,29.0,211.0
39.0,159.2,45,19.6,64.0,105.0,20.8,18.7,36.0,161.0
22.0,162.2,60,27.1,74.0,115.0,34.9,22.6,37.0,148.0
54.0,156.5,52,30.1,72.0,117.0,20.5,13.5,16.0,110.0
48.0,167.2,68,28.2,75.0,112.0,39.2,7.0,31.0,195.0
61.0,160.9,63,30.9,83.0,130.0,27.5,21.1,27.0,140.0
60.0,172.5,76,23.1,86.0,154.0,47.3,16.0,41.0,206.0
27.0,168.6,67,23.7,77.0,123.0,45.0,11.6,41.0,223.0
40.0,162.5,51,22.5,91.0,143.0,26.9,26.3,36.0,174.0
36.0,172.1,65,19.9,86.0,142.0,47.3,15.4,39.0,215.0
58.0,168.5,74,30.1,89.0,139.0,40.6,15.8,29.0,188.0
55.0,152.8,55,31.3,78.0,129.0,23.9,15.7,23.0,130.0
25.0,158.1,57,31.5,61.0,117.0,24.5,13.7,59.0,157.0
21.0,169.6,64,10.9,77.0,134.0,46.2,21.5,65.0,248.0
23.0,163.8,57,31.7,84.0,127.0,32.9,28.8,43.0,164.0
64.0,165.8,61,8.5,66.0,114.0,34.9,7.6,33.0,166.0
21.0,187.4,84,18.8,82.0,151.0,50.8,16.8,49.0,257.0
56.0,149.4,51,35.1,83.0,132.0,25.5,18.8,11.0,117.0
22.0,167.3,61,16.4,68.0,114.0,38.8,19.9,67.0,240.0
28.0,165.4,62,31.1,58.0,102.0,25.0,21.7,31.0,170.0
53.0,152.7,46,27.5,68.0,126.0,23.5,18.5,20.0,152.0
23.0,165.7,62,23.2,70.0,123.0,37.7,25.5,35.0,237.0
46.0,176.8,80,22.7,82.0,141.0,50.1,22.1,45.0,206.0
56.0,148.2,54,37.7,85.0,125.0,22.7,10.7,0.0,134.0
44.0,172.0,71,18.1,69.0,113.0,48.3,28.7,52.0,203.0
27.0,173.8,68,13.9,69.0,110.0,47.8,14.1,49.0,244.0
45.0,166.5,71,26.6,99.0,160.0,47.8,24.2,47.0,201.0
63.0,164.7,73,36.7,81.0,141.0,35.6,9.0,22.0,135.0
26.0,183.4,83,14.1,79.0,145.0,50.6,16.0,51.0,231.0
32.0,170.8,72,24.1,80.0,127.0,47.4,16.6,60.0,205.0
22.0,167.0,50,18.9,77.0,120.0,27.9,23.3,39.0,168.0
21.0,175.0,84,28.0,61.0,133.0,50.9,11.6,42.0,156.0
21.0,178.9,75,17.2,81.0,138.0,40.8,15.4,55.0,213.0
54.0,148.0,53,27.9,97.0,159.0,27.9,23.0,35.0,145.0
21.0,179.0,82,15.4,67.0,122.0,58.9,19.9,56.0,278.0
24.0,163.9,64,23.6,94.0,141.0,39.7,13.2,47.0,224.0
31.0,178.0,84,18.9,75.0,129.0,59.2,15.1,47.0,196.0
27.0,180.9,77,19.9,76.0,156.0,40.9,22.0,52.0,209.0
22.0,163.8,54,28.4,96.0,151.0,23.6,19.4,41.0,155.0
61.0,152.6,56,37.6,93.0,136.0,28.9,20.2,4.0,125.0
60.0,171.9,60,16.7,78.0,128.0,33.6,10.9,28.0,190.0
41.0,160.0,50,20.6,62.0,106.0,27.4,22.6,38.0,178.0
59.0,166.1,67,25.9,98.0,151.0,40.6,22.4,34.0,188.0
51.0,174.5,71,21.2,92.0,136.0,40.7,13.0,41.0,203.0
34.0,181.1,70,19.4,70.0,131.0,34.1,12.7,40.0,217.0
22.0,169.2,53,16.0,66.0,103.0,30.0,27.1,54.0,202.0
22.0,162.1,55,23.2,61.0,99.0,28.5,23.1,43.0,198.0
23.0,161.8,47,17.2,66.0,103.0,25.2,21.5,47.0,178.0
27.0,152.3,55,37.5,81.0,126.0,16.6,16.1,37.0,113.0
25.0,160.9,63,36.1,99.0,144.0,26.4,23.6,37.0,179.0
37.0,149.5,38,17.3,66.0,110.0,16.2,23.0,35.0,167.0
21.0,170.0,50,16.3,67.0,124.0,28.5,6.4,44.0,210.0
31.0,174.0,67,15.6,82.0,140.0,39.3,5.1,38.0,225.0
49.0,176.2,73,22.2,88.0,147.0,45.0,9.9,33.0,223.0
27.0,182.5,81,17.8,66.0,115.0,42.0,9.1,44.0,233.0
49.0,155.9,57,23.3,67.0,104.0,25.1,17.5,25.0,110.0
36.0,156.6,55,26.6,80.0,124.0,30.1,12.5,24.0,149.0
33.0,179.2,76,23.8,85.0,126.0,32.0,8.7,36.0,188.0
61.0,146.5,56,37.3,89.0,152.0,26.9,23.5,12.0,118.0
24.0,166.9,70,23.7,55.0,102.0,39.1,23.8,47.0,186.0
25.0,168.8,63,26.0,81.0,131.0,38.2,20.1,49.0,215.0
28.0,161.4,55,35.2,77.0,128.0,22.4,18.1,30.0,152.0
26.0,162.6,57,32.6,69.0,116.0,26.9,20.6,43.0,128.0
62.0,175.0,68,22.6,75.0,123.0,46.0,2.8,33.0,194.0
51.0,172.4,75,23.3,83.0,120.0,47.4,22.4,55.0,211.0
26.0,180.2,103,24.7,70.0,128.0,67.6,16.2,46.0,219.0
21.0,160.7,56,29.2,71.0,110.0,25.6,30.1,32.0,157.0
56.0,149.0,46,23.2,95.0,157.0,25.0,28.0,41.0,186.0
52.0,165.4,74,27.5,86.0,143.0,38.9,18.2,56.0,217.0
21.0,169.2,64,35.3,68.0,125.0,29.9,22.3,39.0,174.0
56.0,157.2,60,36.2,70.0,118.0,24.2,14.3,16.0,132.0
36.0,169.9,67,17.9,98.0,149.0,48.8,16.3,59.0,228.0
32.0,163.5,55,25.5,68.0,108.0,28.2,24.5,36.0,183.0
21.0,159.9,49,25.4,76.0,116.0,23.4,24.3,11.0,145.0
63.0,165.8,63,20.7,82.0,123.0,26.9,14.2,28.0,160.0
32.0,168.0,69,21.9,88.0,127.0,50.9,26.3,68.0,248.0
28.0,175.1,75,13.8,71.0,126.0,44.5,11.4,66.0,247.0
40.0,169.8,84,25.0,93.0,132.0,57.9,19.8,40.0,220.0
26.0,158.8,56,27.6,60.0,93.0,21.8,20.8,37.0,172.0
56.0,156.9,49,35.9,67.0,128.0,12.1,1.2,20.0,118.0
22.0,168.4,69,15.0,51.0,118.0,44.0,16.3,61.0,234.0
29.0,172.7,72,27.5,82.0,121.0,35.0,3.3,40.0,213.0
61.0,171.6,86,28.7,70.0,142.0,35.1,-2.4,12.0,162.0
54.0,162.9,51,29.4,82.0,122.0,19.5,20.5,24.0,134.0
56.0,168.8,66,23.8,91.0,143.0,34.3,20.2,35.0,186.0
36.0,173.0,72,19.2,91.0,149.0,45.9,7.8,46.0,204.0
24.0,167.5,65,19.1,98.0,154.0,45.3,18.3,44.0,241.0
59.0,145.7,51,41.4,99.0,154.0,24.8,20.1,12.0,122.0
23.0,158.2,47,30.4,75.0,116.0,21.6,10.9,26.0,131.0
41.0,179.3,73,18.0,99.0,150.0,43.3,17.3,47.0,246.0
35.0,169.9,61,22.2,85.0,136.0,38.1,14.3,37.0,216.0
30.0,163.7,65,23.6,84.0,116.0,43.5,14.5,42.0,230.0
44.0,167.8,63,24.3,63.0,117.0,29.1,14.8,43.0,170.0
28.0,170.0,74,28.0,83.0,130.0,37.7,6.0,50.0,193.0
22.0,169.5,65,20.1,60.0,110.0,38.1,16.2,40.0,151.0
21.0,187.9,74,21.06,73.0,123.0,44.7,7.7,45.0,221.0
53.0,170.0,75,22.4,99.0,142.0,42.8,7.4,29.0,181.0
21.0,158.4,48,22.7,81.0,128.0,25.0,21.4,41.0,163.0
63.0,157.6,58,29.2,76.0,121.0,22.9,17.9,27.0,126.0
23.0,161.1,53,28.4,72.0,116.0,28.9,-4.4,22.0,143.0
62.0,174.7,71,23.6,74.0,130.0,41.2,16.6,40.0,205.0
32.0,179.7,90,29.3,96.0,151.0,49.7,1.5,50.0,216.0
38.0,172.3,71,15.5,65.0,111.0,47.4,6.2,47.0,230.0
24.0,180.3,80,24.7,77.0,127.0,64.3,19.0,57.0,235.0
23.0,183.3,79,19.8,79.0,136.0,48.9,23.0,48.0,199.0
63.0,172.4,71,18.9,79.0,152.0,43.1,15.8,38.0,173.0
27.0,178.8,73,7.8,75.0,126.0,49.6,21.5,54.0,223.0
59.0,158.2,54,29.6,74.0,133.0,25.1,28.6,42.0,148.0
36.0,166.5,53,25.9,84.0,130.0,27.4,18.9,40.0,186.0
34.0,167.5,65,26.0,61.0,115.0,31.0,20.5,50.0,174.0
23.0,180.4,90,26.8,70.0,120.0,46.1,4.5,42.0,185.0
21.0,158.8,49,28.4,84.0,139.0,15.2,24.2,28.0,174.0
24.0,177.0,89,18.9,80.0,117.0,56.8,12.7,54.0,232.0
55.0,170.0,75,20.6,67.0,114.0,45.4,12.5,40.0,216.0
43.0,169.0,68,12.4,80.0,120.0,45.7,20.2,55.0,239.0
22.0,159.3,54,21.3,66.0,108.0,23.0,27.2,33.0,189.0
46.0,173.9,69,17.8,88.0,138.0,43.9,14.5,46.0,237.0
24.0,176.0,77,24.7,75.0,114.0,35.6,9.3,38.0,200.0
56.0,164.0,57,23.2,95.0,127.0,24.4,23.6,27.0,149.0
28.0,171.4,76,25.1,84.0,130.0,47.8,23.0,41.0,217.0
53.0,160.4,59,20.3,57.0,102.0,22.5,-5.0,13.0,150.0
30.0,179.2,76,12.6,69.0,132.0,55.4,16.7,50.0,215.0
21.0,153.0,56,40.2,70.0,120.0,18.6,19.4,22.0,160.0
59.0,162.0,65,37.6,74.0,133.0,24.7,16.5,11.0,125.0
27.0,164.6,56,29.4,68.0,148.0,26.8,19.9,51.0,183.0
38.0,179.9,82,18.0,97.0,145.0,54.3,20.0,61.0,241.0
41.0,167.9,72,20.7,87.0,132.0,44.6,23.3,60.0,212.0
21.0,168.4,60,34.2,82.0,138.0,25.8,16.8,32.0,162.0
23.0,163.7,53,29.6,73.0,116.0,26.6,28.0,43.0,204.0
21.0,166.3,47,25.3,73.0,112.0,23.8,10.1,42.0,172.0
63.0,160.5,68,28.7,84.0,193.0,37.1,14.3,31.0,174.0
22.0,182.9,72,12.3,80.0,133.0,52.6,11.2,45.0,225.0
28.0,170.3,52,16.8,95.0,134.0,30.1,16.5,25.0,185.0
25.0,154.0,57,33.1,62.0,112.0,30.2,18.7,36.0,158.0
39.0,176.9,90,21.5,79.0,134.0,46.4,9.3,45.0,225.0
22.0,180.6,80,25.2,70.0,142.0,35.6,20.4,49.0,221.0
30.0,170.2,62,14.7,78.0,134.0,42.8,27.8,65.0,240.0
30.0,185.2,108,23.1,98.0,143.0,54.0,27.7,52.0,231.0
24.0,162.8,59,32.6,81.0,134.0,27.7,21.1,47.0,158.0
64.0,163.8,68,30.9,87.0,145.0,35.5,18.8,26.0,182.0
22.0,166.0,68,31.3,84.0,146.0,33.5,27.8,38.0,181.0
64.0,155.5,60,34.9,85.0,130.0,17.0,12.8,20.0,100.0
26.0,170.1,67,16.4,68.0,113.0,35.2,15.4,51.0,225.0
39.0,159.3,50,30.8,78.0,128.0,25.2,19.6,32.0,167.0
50.0,165.2,67,28.4,96.0,143.0,39.0,13.3,38.0,205.0
45.0,159.2,59,30.7,75.0,106.0,25.0,21.7,35.0,137.0
52.0,150.3,49,33.6,70.0,103.0,20.8,19.5,16.0,130.0
25.0,184.0,75,9.2,87.0,130.0,51.5,21.8,58.0,230.0
25.0,175.3,63,9.9,75.0,119.0,44.6,11.5,55.0,221.0
35.0,177.3,82,23.8,83.0,125.0,49.0,12.1,51.0,197.0
63.0,169.4,76,24.3,79.0,135.0,40.4,17.3,28.0,168.0
31.0,167.0,71,20.0,81.0,140.0,46.9,14.6,53.0,228.0
42.0,158.1,51,14.0,68.0,112.0,23.9,20.3,30.0,121.0
25.0,158.6,46,17.8,62.0,115.0,22.1,19.6,21.0,135.0
24.0,156.1,49,25.1,70.0,110.0,21.7,23.8,38.0,137.0
22.0,175.1,67,18.3,78.0,118.0,39.4,24.9,60.0,163.0
26.0,172.9,83,31.5,64.0,133.0,45.2,9.2,44.0,174.0
22.0,166.0,54,23.5,82.0,155.0,28.1,21.5,46.0,167.0
46.0,168.0,58,23.2,86.0,155.0,32.9,17.4,38.0,182.0
37.0,181.2,86,23.0,83.0,137.0,52.8,21.3,44.0,222.0
28.0,170.0,84,13.5,93.0,139.0,42.6,23.5,51.0,241.0
24.0,176.1,74,24.3,96.0,125.0,35.7,-12.0,1.0,200.0
27.0,170.0,75,34.4,82.0,132.0,35.2,-6.6,49.0,202.0
28.0,171.0,74,25.2,83.0,143.0,42.4,8.0,52.0,213.0
23.0,163.5,58,27.9,85.0,133.0,35.7,26.8,39.0,168.0
39.0,170.8,68,19.9,78.0,117.0,43.3,7.4,52.0,215.0
55.0,154.6,58,41.3,80.0,130.0,23.1,18.5,27.0,115.0
41.0,176.2,93,35.8,85.0,135.0,36.3,7.1,1.0,182.0
36.0,165.8,55,26.7,73.0,124.0,25.4,23.9,30.0,152.0
29.0,172.7,71,15.7,86.0,148.0,52.2,19.7,57.0,254.0
35.0,173.1,77,22.8,8.0,122.0,46.4,16.7,47.0,216.0
41.0,177.0,81,24.2,95.0,126.0,46.3,7.8,39.0,213.0
23.0,161.8,58,29.6,76.0,124.0,29.0,10.3,44.0,126.0
22.0,175.8,73,17.5,83.0,120.0,50.5,7.2,43.0,232.0
52.0,159.5,55,31.5,68.0,103.0,24.4,15.0,16.0,119.0
63.0,175.1,81,26.3,87.0,143.0,40.2,24.4,36.0,167.0
64.0,159.3,56,19.8,82.0,154.0,34.2,-1.4,16.0,144.0
41.0,175.7,81,22.0,80.0,117.0,43.7,14.3,42.0,199.0
22.0,158.5,49,27.0,37.0,77.0,27.1,21.0,59.0,178.0
21.0,170.5,67,30.7,54.0,102.0,29.7,9.8,39.0,166.0
44.0,177.4,87,25.9,95.0,155.0,48.7,5.2,28.0,214.0
50.0,157.3,51,29.1,70.0,118.0,21.6,20.5,33.0,164.0
26.0,180.8,69,13.6,80.0,120.0,44.0,1.5,53.0,249.0
53.0,167.0,65,23.7,99.0,153.0,33.7,14.2,32.0,185.0
29.0,185.0,85,23.6,92.0,129.0,51.0,17.2,55.0,231.0
47.0,177.7,87,28.5,82.0,129.0,40.4,12.2,44.0,204.0
25.0,179.4,74,12.4,92.0,139.0,49.1,20.9,58.0,270.0
40.0,159.1,50,16.6,67.0,115.0,28.7,25.7,32.0,162.0
51.0,161.2,47,17.1,75.0,123.0,23.9,14.1,29.0,154.0
40.0,163.3,47,16.1,70.0,122.0,27.9,27.6,32.0,185.0
27.0,169.8,64,26.9,83.0,132.0,31.3,12.3,49.0,159.0
24.0,179.4,78,23.9,76.0,121.0,37.9,-13.1,37.0,217.0
28.0,171.4,68,12.6,62.0,130.0,35.9,12.3,52.0,228.0
43.0,174.6,104,36.2,97.0,150.0,32.7,-1.3,22.0,173.0
54.0,176.0,68,18.9,82.0,149.0,40.2,10.5,44.0,182.0
23.0,167.2,54,24.5,80.0,110.0,29.0,19.5,39.0,175.0
28.0,175.4,69,14.9,82.0,143.0,45.9,23.8,58.0,230.0
29.0,170.0,66,20.6,95.0,145.0,39.6,6.0,38.0,185.0
